Product_Identifier,Supermarket_Identifier,Product_Supermarket_Identifier,Product_Weight,Product_Fat_Content,Product_Shelf_Visibility,Product_Type,Product_Price,Supermarket_Opening_Year,Supermarket _Size,Supermarket_Location_Type,Supermarket_Type,Product_Supermarket_Sales
FDK03,CHUKWUDI017,FDK03_CHUKWUDI017,12.6,Normal Fat,0.074338562,Dairy,638.84,2014,,Cluster 2,Supermarket Type1,24161.88
FDK28,CHUKWUDI017,FDK28_CHUKWUDI017,5.695,Low Fat,0.065960909,Frozen Foods,648.16,2014,,Cluster 2,Supermarket Type1,23189.81
FDY55,CHUKWUDI045,FDY55_CHUKWUDI045,16.75,Low Fat,0.081485126,Fruits and Vegetables,645.25,2009,,Cluster 2,Supermarket Type1,22487.4
FDT16,CHUKWUDI045,FDT16_CHUKWUDI045,9.895,Normal Fat,0.048761046,Frozen Foods,651.32,2009,,Cluster 2,Supermarket Type1,22127.86
FDD44,CHUKWUDI017,FDD44_CHUKWUDI017,8.05,Normal Fat,0.07884393,Fruits and Vegetables,642.66,2014,,Cluster 2,Supermarket Type1,21901.49
FDR45,CHUKWUDI045,FDR45_CHUKWUDI045,10.8,Low Fat,0.029001987,Snack Foods,596.56,2009,,Cluster 2,Supermarket Type1,21512
DRJ39,CHUKWUDI045,DRJ39_CHUKWUDI045,20.25,Low Fat,0.036399734,Dairy,548.37,2009,,Cluster 2,Supermarket Type1,20809.58
FDR34,CHUKWUDI017,FDR34_CHUKWUDI017,17,Normal Fat,0.016055615,Snack Foods,571.09,2014,,Cluster 2,Supermarket Type1,20613.17
FDB37,CHUKWUDI035,FDB37_CHUKWUDI035,20.25,Normal Fat,0.022936488,Baking Goods,602.13,2011,Small,Cluster 2,Supermarket Type1,19829.19
FDX09,CHUKWUDI035,FDX09_CHUKWUDI035,9,Low Fat,0.065236932,Snack Foods,441.09,2011,Small,Cluster 2,Supermarket Type1,19408.07
FDT21,CHUKWUDI017,FDT21_CHUKWUDI017,7.42,Low Fat,0.02050719,Snack Foods,624.27,2014,,Cluster 2,Supermarket Type1,19298.21
DRE60,CHUKWUDI045,DRE60_CHUKWUDI045,9.395,Low Fat,0.159657596,Soft Drinks,562.43,2009,,Cluster 2,Supermarket Type1,19241.62
DRM37,CHUKWUDI017,DRM37_CHUKWUDI017,15.35,Low Fat,0.096943078,Soft Drinks,491.44,2014,,Cluster 2,Supermarket Type1,19214.99
DRJ51,CHUKWUDI017,DRJ51_CHUKWUDI017,14.1,Low Fat,0.08849163,Dairy,577.92,2014,,Cluster 2,Supermarket Type1,19005.26
FDS26,CHUKWUDI017,FDS26_CHUKWUDI017,20.35,Low Fat,0.089975294,Dairy,654.15,2014,,Cluster 2,Supermarket Type1,18970.31
FDJ15,CHUKWUDI035,FDJ15_CHUKWUDI035,11.35,Normal Fat,0.023318068,Dairy,456.15,2011,Small,Cluster 2,Supermarket Type1,18835.48
FDR16,CHUKWUDI035,FDR16_CHUKWUDI035,5.845,Normal Fat,0.104998144,Frozen Foods,533.05,2011,Small,Cluster 2,Supermarket Type1,18166.35
FDI38,CHUKWUDI017,FDI38_CHUKWUDI017,13.35,Normal Fat,0,Canned,517.41,2014,,Cluster 2,Supermarket Type1,18118.08
NCE18,CHUKWUDI035,NCE18_CHUKWUDI035,10,Low Fat,0.021421289,Household,620.94,2011,Small,Cluster 2,Supermarket Type1,18101.44
FDY56,CHUKWUDI017,FDY56_CHUKWUDI017,16.35,Normal Fat,0.062764429,Fruits and Vegetables,569.02,2014,,Cluster 2,Supermarket Type1,18056.5
FDN58,CHUKWUDI035,FDN58_CHUKWUDI035,13.8,Normal Fat,0.056861638,Snack Foods,579,2011,Small,Cluster 2,Supermarket Type1,17956.63
DRG49,CHUKWUDI045,DRG49_CHUKWUDI045,7.81,Low Fat,0.067592098,Soft Drinks,615.12,2009,,Cluster 2,Supermarket Type1,17715.27
DRK23,CHUKWUDI017,DRK23_CHUKWUDI017,8.395,Low Fat,0.072383777,Hard Drinks,628.76,2014,,Cluster 2,Supermarket Type1,17710.28
FDR59,CHUKWUDI017,FDR59_CHUKWUDI017,14.5,Normal Fat,0.064224789,Breads,656.9,2014,,Cluster 2,Supermarket Type1,17662.01
FDE11,CHUKWUDI035,FDE11_CHUKWUDI035,17.7,Normal Fat,0,Starchy Foods,458.98,2011,Small,Cluster 2,Supermarket Type1,17583.78
FDZ43,CHUKWUDI035,FDZ43_CHUKWUDI035,11,Normal Fat,0.057047756,Fruits and Vegetables,601.13,2011,Small,Cluster 2,Supermarket Type1,17570.46
FDT59,CHUKWUDI035,FDT59_CHUKWUDI035,13.65,Low Fat,0.015908424,Breads,577.92,2011,Small,Cluster 2,Supermarket Type1,17277.51
FDC47,CHUKWUDI045,FDC47_CHUKWUDI045,15,Low Fat,0.119131749,Snack Foods,567.42,2009,,Cluster 2,Supermarket Type1,17127.71
NCZ18,CHUKWUDI017,NCZ18_CHUKWUDI017,7.825,Low Fat,0,Household,633.67,2014,,Cluster 2,Supermarket Type1,17122.71
FDW43,CHUKWUDI017,FDW43_CHUKWUDI017,20.1,Normal Fat,0.022552083,Fruits and Vegetables,566.51,2014,,Cluster 2,Supermarket Type1,17077.77
FDQ24,CHUKWUDI017,FDQ24_CHUKWUDI017,15.7,Low Fat,0.074083388,Baking Goods,633.43,2014,,Cluster 2,Supermarket Type1,16987.89
NCR38,CHUKWUDI045,NCR38_CHUKWUDI045,17.25,Low Fat,0.113748685,Household,628.43,2009,,Cluster 2,Supermarket Type1,16987.89
FDK52,CHUKWUDI045,FDK52_CHUKWUDI045,18.25,Low Fat,0.0793795,Frozen Foods,565.27,2009,,Cluster 2,Supermarket Type1,16927.97
FDZ34,CHUKWUDI035,FDZ34_CHUKWUDI035,6.695,Low Fat,0.075864171,Starchy Foods,480.21,2011,Small,Cluster 2,Supermarket Type1,16894.68
FDW55,CHUKWUDI035,FDW55_CHUKWUDI035,12.6,Normal Fat,0,Fruits and Vegetables,622.02,2011,Small,Cluster 2,Supermarket Type1,16808.12
FDF21,CHUKWUDI017,FDF21_CHUKWUDI017,10.3,Normal Fat,0.059160135,Fruits and Vegetables,478.88,2014,,Cluster 2,Supermarket Type1,16603.39
FDY58,CHUKWUDI017,FDY58_CHUKWUDI017,11.65,Low Fat,0.040144377,Snack Foods,572.42,2014,,Cluster 2,Supermarket Type1,16556.78
FDM20,CHUKWUDI017,FDM20_CHUKWUDI017,10,Low Fat,0.038904624,Fruits and Vegetables,613.54,2014,,Cluster 2,Supermarket Type1,16538.47
FDN09,CHUKWUDI035,FDN09_CHUKWUDI035,14.15,Low Fat,0.034868095,Snack Foods,609.46,2011,Small,Cluster 2,Supermarket Type1,16448.59
FDY38,CHUKWUDI017,FDY38_CHUKWUDI017,13.6,Normal Fat,0.119850541,Dairy,586.33,2014,,Cluster 2,Supermarket Type1,16312.1
FDX12,CHUKWUDI035,FDX12_CHUKWUDI035,18.2,Normal Fat,0.026059557,Baking Goods,603.05,2011,Small,Cluster 2,Supermarket Type1,16268.82
FDA15,CHUKWUDI035,FDA15_CHUKWUDI035,9.3,Low Fat,0.01601936,Dairy,621.27,2011,Small,Cluster 2,Supermarket Type1,16185.6
FDA32,CHUKWUDI017,FDA32_CHUKWUDI017,14,Ultra Low fat,0,Fruits and Vegetables,542.3,2014,,Cluster 2,Supermarket Type1,16178.94
FDV57,CHUKWUDI017,FDV57_CHUKWUDI017,15.25,Normal Fat,0.066269294,Snack Foods,449.17,2014,,Cluster 2,Supermarket Type1,16178.94
FDL57,CHUKWUDI035,FDL57_CHUKWUDI035,15.1,Normal Fat,0.067064128,Snack Foods,644.83,2011,Small,Cluster 2,Supermarket Type1,16145.65
FDU60,CHUKWUDI045,FDU60_CHUKWUDI045,20,Normal Fat,0.060022526,Baking Goods,421.78,2009,,Cluster 2,Supermarket Type1,16065.75
FDY28,CHUKWUDI045,FDY28_CHUKWUDI045,7.47,Normal Fat,0,Frozen Foods,529.55,2009,,Cluster 2,Supermarket Type1,16029.14
FDQ07,CHUKWUDI045,FDQ07_CHUKWUDI045,15.1,Normal Fat,0.087584126,Fruits and Vegetables,554.36,2009,,Cluster 2,Supermarket Type1,16025.81
FDF41,CHUKWUDI045,FDF41_CHUKWUDI045,12.15,Low Fat,0.131445848,Frozen Foods,617.12,2009,,Cluster 2,Supermarket Type1,16012.49
FDR37,CHUKWUDI035,FDR37_CHUKWUDI035,16.5,Normal Fat,0.066237024,Breakfast,457.82,2011,Small,Cluster 2,Supermarket Type1,15962.56
FDG45,CHUKWUDI035,FDG45_CHUKWUDI035,8.1,Low Fat,0.128011859,Fruits and Vegetables,527.48,2011,Small,Cluster 2,Supermarket Type1,15929.27
FDZ20,CHUKWUDI045,FDZ20_CHUKWUDI045,16.1,Low Fat,0.034376537,Fruits and Vegetables,640.34,2009,,Cluster 2,Supermarket Type1,15895.98
FDZ23,CHUKWUDI035,FDZ23_CHUKWUDI035,17.75,Normal Fat,0.067490036,Baking Goods,463.06,2011,Small,Cluster 2,Supermarket Type1,15846.04
FDB11,CHUKWUDI035,FDB11_CHUKWUDI035,16,Low Fat,0.060836524,Starchy Foods,567.1,2011,Small,Cluster 2,Supermarket Type1,15752.83
